Q8661052,Category:羅德島州各黨派政治人物
Q8661316,Category:羅德西亞政治人物
Q8670237,Category:內布拉斯加州各黨派政治人物
Q8674252,Category:新墨西哥州各黨派政治人物
Q8674867,Category:紐約市政治人物
Q8675599,Category:纽约州各党派政治人物
Q8681848,Category:罗马尼亚女性政治人物
Q8682397,Category:北美洲女性政治人物
Q8684427,Category:北齊政治人物
Q8684534,Category:东魏政治人物
Q8686440,Category:挪威女性政治人物
Q8692393,Category:俄罗斯各联邦主体政治人物
Q8703429,Category:俄勒岡州各黨派政治人物
Q8717705,Category:阿尔巴尼亚劳动党政治人物
Q8720673,Category:宾夕法尼亚州各党派政治人物
Q8721247,Category:蘇格蘭政治人物
Q8761001,Category:宋朝政治人物
Q8771489,Category:依政治人物划分的政治哲学
Q8771789,Category:各族裔各國政治人物
Q8771834,Category:重庆政治人物
Q8771917,Category:黑龍江政治人物
Q8771971,Category:巴黎政治人物
Q8772022,Category:東京都政治人物
Q8772040,Category:浙江政治人物
Q8772053,Category:卑詩省政治人物
Q8772069,Category:華人政治人物
Q8772099,Category:北美洲政治人物
